S.no,File,Input Size,Time Taken
1,seq_mXv.exe,64,0.000042
2,seq_mXv.exe,64,0.000046
3,seq_mXv.exe,64,0.000041
4,seq_mXv.exe,64,0.000046
5,seq_mXv.exe,64,0.000131
6,seq_mXv.exe,64,0.000046
7,seq_mXv.exe,64,0.000046
8,seq_mXv.exe,64,0.000046
9,seq_mXv.exe,64,0.000046
10,seq_mXv.exe,64,0.000052
1,seq_mXv.exe,128,0.000193
2,seq_mXv.exe,128,0.000273
3,seq_mXv.exe,128,0.000229
4,seq_mXv.exe,128,0.00039
5,seq_mXv.exe,128,0.000186
6,seq_mXv.exe,128,0.000171
7,seq_mXv.exe,128,0.00021
8,seq_mXv.exe,128,0.000112
9,seq_mXv.exe,128,0.000192
10,seq_mXv.exe,128,0.000216
1,seq_mXv.exe,256,0.001008
2,seq_mXv.exe,256,0.001119
3,seq_mXv.exe,256,0.000617
4,seq_mXv.exe,256,0.000623
5,seq_mXv.exe,256,0.000646
6,seq_mXv.exe,256,0.000962
7,seq_mXv.exe,256,0.001334
8,seq_mXv.exe,256,0.000559
9,seq_mXv.exe,256,0.001493
10,seq_mXv.exe,256,0.000688
1,seq_mXv.exe,512,0.002515
2,seq_mXv.exe,512,0.002271
3,seq_mXv.exe,512,0.002097
4,seq_mXv.exe,512,0.002328
5,seq_mXv.exe,512,0.002017
6,seq_mXv.exe,512,0.0021
7,seq_mXv.exe,512,0.00207
8,seq_mXv.exe,512,0.002015
9,seq_mXv.exe,512,0.002102
10,seq_mXv.exe,512,0.002956
1,seq_mXv.exe,1024,0.007848
2,seq_mXv.exe,1024,0.005445
3,seq_mXv.exe,1024,0.006443
4,seq_mXv.exe,1024,0.00652
5,seq_mXv.exe,1024,0.006649
6,seq_mXv.exe,1024,0.006412
7,seq_mXv.exe,1024,0.006419
8,seq_mXv.exe,1024,0.004599
9,seq_mXv.exe,1024,0.005617
10,seq_mXv.exe,1024,0.005334
1,seq_mXv.exe,2048,0.022342
2,seq_mXv.exe,2048,0.025763
3,seq_mXv.exe,2048,0.019593
4,seq_mXv.exe,2048,0.021275
5,seq_mXv.exe,2048,0.018977
6,seq_mXv.exe,2048,0.023262
7,seq_mXv.exe,2048,0.018833
8,seq_mXv.exe,2048,0.020203
9,seq_mXv.exe,2048,0.017445
10,seq_mXv.exe,2048,0.019169
1,seq_mXv.exe,4096,0.109547
2,seq_mXv.exe,4096,0.092021
3,seq_mXv.exe,4096,0.070092
4,seq_mXv.exe,4096,0.067971
5,seq_mXv.exe,4096,0.081257
6,seq_mXv.exe,4096,0.076608
7,seq_mXv.exe,4096,0.077509
8,seq_mXv.exe,4096,0.07914
9,seq_mXv.exe,4096,0.070209
10,seq_mXv.exe,4096,0.068478
1,seq_mXv.exe,8192,0.386191
2,seq_mXv.exe,8192,0.260173
3,seq_mXv.exe,8192,0.614438
4,seq_mXv.exe,8192,0.769863
5,seq_mXv.exe,8192,0.623122
6,seq_mXv.exe,8192,0.595251
7,seq_mXv.exe,8192,0.513337
8,seq_mXv.exe,8192,0.896306
9,seq_mXv.exe,8192,0.712377
10,seq_mXv.exe,8192,0.554428
1,seq_mXv.exe,16384,2.010834
2,seq_mXv.exe,16384,1.881705
3,seq_mXv.exe,16384,1.923889
4,seq_mXv.exe,16384,1.892359
5,seq_mXv.exe,16384,1.884437
6,seq_mXv.exe,16384,2.073714
7,seq_mXv.exe,16384,1.771626
8,seq_mXv.exe,16384,1.871
9,seq_mXv.exe,16384,1.882983
10,seq_mXv.exe,16384,1.882455
1,seq_mXv.exe,32768,7.604639
2,seq_mXv.exe,32768,7.643862
3,seq_mXv.exe,32768,7.806957
4,seq_mXv.exe,32768,7.593006
5,seq_mXv.exe,32768,7.627495
6,seq_mXv.exe,32768,7.799765
7,seq_mXv.exe,32768,8.278891
8,seq_mXv.exe,32768,7.604477
9,seq_mXv.exe,32768,7.613357
10,seq_mXv.exe,32768,7.62924
1,omp_mXv.exe,64,0.002
2,omp_mXv.exe,64,0.003
3,omp_mXv.exe,64,0.003
4,omp_mXv.exe,64,0.003
5,omp_mXv.exe,64,0.002
6,omp_mXv.exe,64,0.002
7,omp_mXv.exe,64,0.003
8,omp_mXv.exe,64,0.002
9,omp_mXv.exe,64,0.003
10,omp_mXv.exe,64,0.003
1,omp_mXv.exe,128,0.003
2,omp_mXv.exe,128,0.002
3,omp_mXv.exe,128,0.002
4,omp_mXv.exe,128,0.003
5,omp_mXv.exe,128,0.002
6,omp_mXv.exe,128,0.003
7,omp_mXv.exe,128,0.002
8,omp_mXv.exe,128,0.002
9,omp_mXv.exe,128,0.003
10,omp_mXv.exe,128,0.002
1,omp_mXv.exe,256,0.003
2,omp_mXv.exe,256,0.002
3,omp_mXv.exe,256,0.002
4,omp_mXv.exe,256,0.003
5,omp_mXv.exe,256,0.002
6,omp_mXv.exe,256,0.002
7,omp_mXv.exe,256,0.002
8,omp_mXv.exe,256,0.003
9,omp_mXv.exe,256,0.002
10,omp_mXv.exe,256,0.004
1,omp_mXv.exe,512,0.002
2,omp_mXv.exe,512,0.002
3,omp_mXv.exe,512,0.002
4,omp_mXv.exe,512,0.002
5,omp_mXv.exe,512,0.003
6,omp_mXv.exe,512,0.003
7,omp_mXv.exe,512,0.003
8,omp_mXv.exe,512,0.003
9,omp_mXv.exe,512,0.003
10,omp_mXv.exe,512,0.003
1,omp_mXv.exe,1024,0.004
2,omp_mXv.exe,1024,0.004
3,omp_mXv.exe,1024,0.004
4,omp_mXv.exe,1024,0.004
5,omp_mXv.exe,1024,0.006
6,omp_mXv.exe,1024,0.005
7,omp_mXv.exe,1024,0.004
8,omp_mXv.exe,1024,0.004
9,omp_mXv.exe,1024,0.004
10,omp_mXv.exe,1024,0.004
1,omp_mXv.exe,2048,0.009
2,omp_mXv.exe,2048,0.01
3,omp_mXv.exe,2048,0.008
4,omp_mXv.exe,2048,0.008
5,omp_mXv.exe,2048,0.009
6,omp_mXv.exe,2048,0.009
7,omp_mXv.exe,2048,0.008
8,omp_mXv.exe,2048,0.009
9,omp_mXv.exe,2048,0.009
10,omp_mXv.exe,2048,0.009
1,omp_mXv.exe,4096,0.027
2,omp_mXv.exe,4096,0.026
3,omp_mXv.exe,4096,0.04
4,omp_mXv.exe,4096,0.026
5,omp_mXv.exe,4096,0.025
6,omp_mXv.exe,4096,0.024
7,omp_mXv.exe,4096,0.026
8,omp_mXv.exe,4096,0.031
9,omp_mXv.exe,4096,0.027
10,omp_mXv.exe,4096,0.144
1,omp_mXv.exe,8192,0.114
2,omp_mXv.exe,8192,0.102
3,omp_mXv.exe,8192,0.157
